stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
INTERMA1,"Intermarché",47.24769,5.999639,0,st_intermarche,1
INTERMA2,"Intermarché",47.247562,5.999067,0,st_intermarche,0
MONTFE02,"Montferrand-le-Château - Marronniers",47.178394,5.909198,0,st_montferrandlechateau__marronniers,0
MONTFE01,"Montferrand-le-Château - Marronniers",47.178185,5.909451,0,st_montferrandlechateau__marronniers,0
MONTFE04,"Montferrand-le-Château - Mairie",47.184025,5.908054,0,st_montferrandlechateau__mairie,1
MONTFE03,"Montferrand-le-Château - Mairie",47.183617,5.908255,0,st_montferrandlechateau__mairie,1
t_farg1,"Fontaine Argent",47.245975,6.0337963,0,st_fontaine_argent,1
MONTFE06,"Montferrand-le-Château - Fontaine",47.1908,5.913701,0,st_montferrandlechateau__fontaine,0
t_farg2,"Fontaine Argent",47.24595,6.033674,0,st_fontaine_argent,1
MONTFE05,"Montferrand-le-Château - Fontaine",47.19083,5.914024,0,st_montferrandlechateau__fontaine,0
CIMCLA2,"Cimetière St Claude",47.261353,6.019765,0,st_cimetiere_st_claude,0
MONTFE08,"Montferrand-le-Château - Marne",47.194168,5.9183335,0,st_montferrandlechateau__marne,0
CIMCLA1,"Cimetière St Claude",47.26145,6.019935,0,st_cimetiere_st_claude,0
MONTFE07,"Montferrand-le-Château - Marne",47.193844,5.918402,0,st_montferrandlechateau__marne,0
PLANOIS2,"Planoise",47.21727,5.96663,0,st_planoise,0
PLANOIS3,"Planoise",47.21771,5.965849,0,st_planoise,0
MONTFE09,"Montferrand-le-Château - Stade",47.17615,5.911181,0,st_montferrandlechateau__stade,0
PLANOIS1,"Planoise",47.217316,5.96638,0,st_planoise,0
BREGILLE,"Bregille",47.24379,6.052049,0,st_bregille,1
HBAIGUE2,"Henri Baigue",47.253513,6.025601,0,st_henri_baigue,0
HBAIGUE1,"Henri Baigue",47.253494,6.025517,0,st_henri_baigue,0
ENVELME2,"Envelmey",47.246902,6.05485,0,st_envelmey,0
ENVELME1,"Envelmey",47.24672,6.054475,0,st_envelmey,0
CENTTRI2,"Centre de Tri",47.236378,5.998833,0,st_centre_de_tri,0
CENTTRI1,"Centre de Tri",47.2363,5.998355,0,st_centre_de_tri,1
VAREIL01,"Vareilles",47.24275,6.046672,0,st_vareilles,0
POLYGON1,"Polygone",47.22983,6.01074,0,st_polygone,0
t_tbern2,"Tristan Bernard",47.24816,6.0370765,0,st_tristan_bernard,1
VAREIL02,"Vareilles",47.242767,6.046816,0,st_vareilles,0
t_tbern1,"Tristan Bernard",47.248196,6.0373807,0,st_tristan_bernard,1
POLYGON2,"Polygone",47.22985,6.010425,0,st_polygone,0
REMPART2,"Remparts",47.24402,6.02166,0,st_remparts,0
ROUTEL01,"Osselle-Routelle - Centre",47.167534,5.8504,0,st_osselleroutelle__centre,1
REMPART1,"Remparts",47.24405,6.021673,0,st_remparts,0
ROUTEL02,"Osselle-Routelle - Centre",47.16737,5.850093,0,st_osselleroutelle__centre,1
ROUTEL03,"Osselle-Routelle - Randebelin",47.16953,5.854936,0,st_osselleroutelle__randebelin,0
JANVIER2,"Janvier",47.237698,6.015066,0,st_janvier,1
ROUTEL04,"Osselle-Routelle - Randebelin",47.16949,5.854806,0,st_osselleroutelle__randebelin,0
AUXOUS02,"Les Auxons - Les Marronniers",47.30064,5.95066,0,st_les_auxons__les_marronniers,1
PASSEREL,"Passerelle",47.226967,6.032547,0,st_passerelle,0
AUXOUS01,"Les Auxons - Les Marronniers",47.30064,5.95066,0,st_les_auxons__les_marronniers,1
MIROU1,"Mirounes",47.214596,5.949674,0,st_mirounes,0
AUXOUS06,"Les Auxons - Le Mont",47.292423,5.952345,0,st_les_auxons__le_mont,0
MIROU2,"Mirounes",47.214596,5.949674,0,st_mirounes,0
AUXOUS05,"Les Auxons - Le Mont",47.29235,5.952499,0,st_les_auxons__le_mont,0
t_flo2,"Flore",47.24549,6.028106,0,st_flore,1
LUMIERE2,"Lumière",47.250782,6.018365,0,st_lumiere,1
LUMIERE1,"Lumière",47.251083,6.018096,0,st_lumiere,1
t_flo1,"Flore",47.245533,6.028025,0,st_flore,1
GAIFFE1,"Gaiffe",47.24273,6.041277,0,st_gaiffe,1
PUGEY01,"Pugey - Les Clairons",47.174866,5.97964,0,st_pugey__les_clairons,0
PONTVEL1,"Pont de Velotte",47.216946,6.017778,0,st_pont_de_velotte,0
PONTVEL2,"Pont de Velotte",47.216946,6.017778,0,st_pont_de_velotte,0
GAIFFE2,"Gaiffe",47.242603,6.041213,0,st_gaiffe,1
BAILLE1,"Baille",47.251816,6.035539,0,st_baille,0
BQTSO01,"Bouquet de Soleils",47.26603,6.023893,0,st_bouquet_de_soleils,0
PUGEY09,"Pugey - Carrefour",47.17841,5.994284,0,st_pugey__carrefour,0
BAILLE2,"Baille",47.25124,6.034726,0,st_baille,0
BQTSO02,"Bouquet de Soleils",47.26583,6.023334,0,st_bouquet_de_soleils,0
STVIT25,"Saint-Vit - Planches",47.183224,5.81233,0,st_saintvit__planches,0
STVIT22,"Saint-Vit - Poudrière",47.18045,5.804286,0,st_saintvit__poudriere,0
PUGEY07,"Pugey - Haut Bonnet Rond",47.166138,5.99878,0,st_pugey__haut_bonnet_rond,0
AUXOUS09,"Les Auxons - Lotissement",47.296608,5.946918,0,st_les_auxons__lotissement,0
PUGEY06,"Pugey - Lotissement",47.185703,5.989625,0,st_pugey__lotissement,0
STVIT23,"Saint-Vit - Poudrière",47.1804,5.8042,0,st_saintvit__poudriere,0
P+RHDC01,"Hauts du Chazal",47.221443,5.951281,0,st_hauts_du_chazal,0
STVIT28,"Saint-Vit - La Faucine",47.177334,5.791348,0,st_saintvit__la_faucine,0
PUGEY05,"Pugey - Lotissement",47.18621,5.989708,0,st_pugey__lotissement,0
PUGEY04,"Pugey - Village",47.184692,5.991604,0,st_pugey__village,0
STVIT26,"Saint-Vit - Les Vallons",47.185375,5.82076,0,st_saintvit__les_vallons,1
PUGEY03,"Pugey - Village",47.18477,5.99163,0,st_pugey__village,0
STVIT27,"Saint-Vit - Les Vallons",47.185005,5.819122,0,st_saintvit__les_vallons,1
STETHER1,"Ste Thérèse",47.22875,6.0093,0,st_ste_therese,0
AUXOUS10,"Les Auxons - Lotissement",47.295666,5.946132,0,st_les_auxons__lotissement,0
RECLUS1,"Reclus",47.260933,6.014727,0,st_reclus,1
RECLUS2,"Reclus",47.26069,6.014927,0,st_reclus,1
PALISE02,"Palise - Mairie",47.371536,6.091019,0,st_palise__mairie,0
PASSERE1,"Passerelle",47.226868,6.032685,0,st_passerelle,0
PALISE01,"Palise - Mairie",47.371536,6.091019,0,st_palise__mairie,0
PUGEY12,"Pugey - Bas Bonnet Rond",47.17392,5.997291,0,st_pugey__bas_bonnet_rond,0
PUGEY11,"Pugey - Bas Bonnet Rond",47.173714,5.997362,0,st_pugey__bas_bonnet_rond,0
CHEMPAL1,"Chemin de Palente",47.268814,6.047417,0,st_chemin_de_palente,0
CHEMPAL2,"Chemin de Palente",47.268967,6.04736,0,st_chemin_de_palente,0
GAVIONO2,"Gare Viotte Nord",47.247215,6.020407,0,st_gare_viotte_nord,1
GAVIONO1,"Gare Viotte Nord",47.24695,6.019811,0,st_gare_viotte_nord,1
STVIT10,"Saint-Vit - Centre-Ville",47.18266,5.81242,0,st_saintvit__centreville,0
BREME2,"Brême",47.24863,6.057645,0,st_breme,0
BREME1,"Brême",47.24819,6.057385,0,st_breme,0
ESSARTS2,"Essarts",47.2682,6.010196,0,st_essarts,0
ESSARTS1,"Essarts",47.268227,6.010089,0,st_essarts,0
STVIT09,"Saint-Vit - Centre-Ville",47.1825,5.81222,0,st_saintvit__centreville,0
ROCHE18,"Roche-lez-Beaupré - Centre Commercial",47.272484,6.10328,0,st_rochelezbeaupre__centre_commercial,1
ROCHE17,"Roche-lez-Beaupré - Centre Commercial",47.272484,6.10328,0,st_rochelezbeaupre__centre_commercial,1
ROCHE16,"Roche-lez-Beaupré - Cimetiere",47.27245,6.110183,0,st_rochelezbeaupre__cimetiere,1
STVIT02,"Saint-Vit - Bois Murie",47.20271,5.821983,0,st_saintvit__bois_murie,0
STVIT03,"Saint-Vit - Foulottière",47.18979,5.820296,0,st_saintvit__foulottiere,0
CHRUJM,"CHU Minjoz",47.22732,5.965506,0,st_chu_minjoz,1
ROCHE12,"Roche-lez-Beaupré - Place",47.275703,6.113453,0,st_rochelezbeaupre__place,1
STVIT01,"Saint-Vit - Bois Murie",47.20271,5.821983,0,st_saintvit__bois_murie,0
STVIT06,"Saint-Vit - Gare",47.18337,5.808209,0,st_saintvit__gare,0
ROCHE10,"Roche-lez-Beaupré - Tamaris",47.276585,6.116338,0,st_rochelezbeaupre__tamaris,0
STVIT05,"Saint-Vit - Gare",47.18321,5.80822,0,st_saintvit__gare,0
DENROCH1,"Denfert Rochereau",47.243217,6.026273,0,st_denfert_rochereau,1
DENROCH2,"Denfert Rochereau",47.243076,6.026127,0,st_denfert_rochereau,1
BEURE15,"Beure - Vierge",47.20507,5.99965,0,st_beure__vierge,0
STVIT20,"Saint-Vit - Ougney",47.182907,5.798685,0,st_saintvit__ougney,0
DELUZ08,"Deluz - Fretille",47.296112,6.1938887,0,st_deluz__fretille,0
STVIT21,"Saint-Vit - Ougney",47.182613,5.799389,0,st_saintvit__ougney,0
BEURE14,"Beure - Escale",47.210743,6.001055,0,st_beure__escale,0
DELUZ04,"Deluz - Centre",47.294518,6.201003,0,st_deluz__centre,0
DELUZ07,"Deluz - Fretille",47.296013,6.194466,0,st_deluz__fretille,0
BEURE13,"Beure - Escale",47.210484,6.001108,0,st_beure__escale,0
DELUZ01,"Deluz - Chapelle",47.296272,6.190768,0,st_deluz__chapelle,0
DELUZ03,"Deluz - Centre",47.294308,6.200728,0,st_deluz__centre,1
REFUGE1,"Refuge",47.255703,6.023619,0,st_refuge,0
DELUZ02,"Deluz - Chapelle",47.296112,6.191111,0,st_deluz__chapelle,0
PRECLAI2,"Pré au Clair",47.258755,6.027745,0,st_pre_au_clair,0
STVIT19,"Saint-Vit - Collège Jaurès",47.1839,5.81822,0,st_saintvit__college_jaures,0
PRECLAI1,"Pré au Clair",47.258766,6.0276,0,st_pre_au_clair,0
POLSPOR2,"Pôle Sportif",47.250816,6.000534,0,st_pole_sportif,0
POLSPOR1,"Pôle Sportif",47.250816,6.000504,0,st_pole_sportif,0
FLUAGA1,"Fluttes Agasses",47.256897,6.028307,0,st_fluttes_agasses,0
FLUAGA2,"Fluttes Agasses",47.257416,6.028446,0,st_fluttes_agasses,0
STVIT11,"Saint-Vit - Zone des Belles Ouvrières",47.186394,5.826528,0,st_saintvit__zone_des_belles_ouvrieres,0
STVIT12,"Saint-Vit - Zone des Belles Ouvrières",47.186394,5.826528,0,st_saintvit__zone_des_belles_ouvrieres,0
STVIT17,"Saint-Vit - Roussey",47.18083,5.805652,0,st_saintvit__roussey,0
STVIT18,"Saint-Vit - Roussey",47.18083,5.805652,0,st_saintvit__roussey,0
ROCHE21,"Roche-lez-Beaupré - Commerce",47.275185,6.113105,0,st_rochelezbeaupre__commerce,0
STVIT15,"Saint-Vit - Benusse",47.189983,5.855451,0,st_saintvit__benusse,0
PISCHAL,"Chalezeule - Piscine Chalezeule",47.266552,6.073006,0,st_chalezeule__piscine_chalezeule,1
